Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
FCEL,"FuelCell Energy, Inc.",5.63,USD,13.967611336032377,1544822,1.0596260975167258,127883970.70040484,USD,,-7.8119,USD,0.4104996111727343,0,Electronic technology,Neutral
XALL,Xalles Holdings Inc.,0.0007,USD,40,1619250,1.0100344119675402,53564,USD,2.3333333333333335,0.0003,USD,-80,0,Commercial services,
UP,Wheels Up Experience Inc.,1.49,USD,12.878787878787874,884316,1.007211632372014,1041322700.2272726,USD,,-0.4894,USD,95.14021290117573,0,Transportation,
HOWL,"Werewolf Therapeutics, Inc.",1.36,USD,13.333333333333346,782734,0.9884613796361554,61028160.60000002,USD,,-1.64,USD,-50.01829491401391,0,Health technology,Strong buy
BLSP,BLUE SPHERE CORP,0.0002,USD,100,858960,0.9164723028959313,10459,USD,,,,,0,Utilities,
TCRX,"TScan Therapeutics, Inc.",1.75,USD,19.863013698630137,1182706,0.9094799442118743,99033596.74657534,USD,,-1.0906,USD,,0,Health technology,Strong buy
BMGL,Basel Medical Group Ltd,5.09,USD,29.8469387755102,23084565,0.8860103162790578,95619467.5,USD,,,,,0,Health services,
TNGL,"Tonogold Resources, Inc.",0.02314,USD,23.41333333333334,594502,0.7853331697062943,9289042.685866667,USD,,-0.002,USD,78.72340425531915,0,Non-energy minerals,
NRGV,"Energy Vault Holdings, Inc.",0.9201,USD,11.68973051711581,864087,0.7643033731220507,143576362.28404954,USD,,-0.915,USD,-49.68100768853265,0,Producer manufacturing,Buy
VVPR,VivoPower International PLC,5.17,USD,20.51282051282051,1944729,0.7489501875255189,52280136.66666667,USD,,-6.5047,USD,-103.78132832080198,0,Utilities,
TWOH,Two Hands Corporation,0.0038,USD,15.151515151515152,32223032,0.7216900359805004,21429080.90909091,USD,,-0.0014,USD,99.92256637168141,0,Retail trade,
AGAE,Allied Gaming & Entertainment Inc.,3.28,USD,26.640926640926637,557151,0.7120773937208984,144667721.7915058,USD,,-0.2691,USD,-144.63636363636365,0,Consumer services,
GGII,"Green Globe International, Inc.",0.00016,USD,60.00000000000001,2492199,0.6230580834018655,10249860.8,USD,,-0.0001,USD,50,0,Commercial services,
TDTH,Trident Digital Tech Holdings Ltd - American Depository Shares,0.3749,USD,12.58258258258258,689662,0.5619670206512462,19412414,USD,,-0.0969,USD,,0,Commercial services,
GTLL,"Global Technologies, Ltd.",0.0003,USD,49.99999999999998,5963819,0.5193597935149501,4406532,USD,,0,USD,,0,Consumer services,
GREE,Greenidge Generation Holdings Inc.,1.53,USD,14.179104477611936,351138,0.5161139925541238,23621234.977611937,USD,,-1.8576,USD,48.08417875408737,0,Technology services,
HBRM,"Herborium Group, Inc.",0.0001,USD,9900.000000000002,1012001,0.448597016433839,9630,USD,,0,USD,,,Health technology,
WOLF,"Wolfspeed, Inc.",1.4,USD,15.70247933884297,26970327,0.42751538326976574,217877420.49586782,USD,,-8.3521,USD,-30.356947761077556,0,Electronic technology,Sell
BFCH,"BitFrontier Capital Holdings, Inc.",0.0005,USD,24.999999999999996,614408,0.3962491226556291,346696.25,USD,,-0.0002,USD,91.30434782608695,0,Producer manufacturing,
PRME,"Prime Medicine, Inc.",1.33,USD,11.764705882352953,1261396,0.38488761773795027,174621625.76470587,USD,,-1.6556,USD,22.37434358589648,0,Health technology,Buy
UFG,Uni-Fuels Holdings Limited,2.49,USD,19.711538461538467,207523,0.37195361186076104,80713350,USD,,,,,0,Distribution services,
BLMZ,BloomZ Inc.,0.1674,USD,15.847750865051907,42286490,0.33346721417101927,2414901.6864,USD,,,,,0,Commercial services,
NEHC,New Era Helium Inc,0.6106,USD,17.423076923076923,556894,0.3068074356291066,8837854.93,USD,,-1.2967,USD,-234.89152892561984,0,Finance,
PSWW,"Principal Solar, Inc.",0.0003,USD,15.384615384615385,33518187,0.2846053224213283,476830.38461538457,USD,,-0.0004,USD,86.20689655172413,0,Utilities,
NNAX,New Momentum Corporation,0.0006,USD,19.999999999999986,2866834,0.24363165058162756,495517.19999999995,USD,,-0.0002,USD,84.6153846153846,0,Commercial services,
RSHN,"RushNet, Inc.",0.0001,USD,9900.000000000002,3001000,0.20954520513962369,817464,USD,,,,,0,Health services,
AFFU,Affluence Corp.,0.0002,USD,100,20706047,0.17829621373918347,62183,USD,,-0.0019,USD,-290,0,Commercial services,
KYNC,"KYN Capital Group, Inc.",0.0008,USD,14.285714285714294,3533472,0.15773254097745107,4746271.999999999,USD,,0,USD,,0,Finance,
WHEN,"World Health Energy Holdings, Inc.",0.0002,USD,33.33333333333336,201953,0.148464374078498,110166880,USD,,0,USD,,0,Technology services,
ELRA,"Elray Resources, Inc.",0.0004,USD,17.64705882352941,336333,0.08964127578123182,1722844.705882353,USD,,-0.0002,USD,-100,0,Technology services,
UATG,"Umbra Applied Technologies Group, Inc.",0.0006,USD,19.999999999999986,112988,0.07726995539271975,600000,USD,,-0.0155,USD,-15400,0,Electronic technology,
BLDV,"Blue Diamond Ventures, Inc.",0.0002,USD,100,38009,0.07409130019325454,538559,USD,,0,USD,,0,Commercial services,
FCGD,First Colombia Gold Corp.,0.0001,USD,100,250000,0.06899918503682569,483789,USD,,,,,0,Non-energy minerals,
ZEO,Zeo Energy Corporation,2.84,USD,16.872427983539083,511026,0.04770070541833495,140025767.57201645,USD,,-1.7188,USD,-554.5316070068546,0,Utilities,
TSOI,"Therapeutic Solutions International, Inc.",0.00015,USD,49.99999999999998,305168,0.04344390368290893,768406.4999999999,USD,,-0.0006,USD,33.333333333333336,0,Health technology,
JTBK,Jetblack Corp.,0.0008,USD,14.285714285714294,616000,0.03195303352244618,492337.14285714284,USD,,-0.0014,USD,12.500000000000005,0,Process industries,
CBNT,C-Bond Systems Inc.,0.0004,USD,33.33333333333336,30000,0.01593518247669599,238521.33333333337,USD,,-0.0042,USD,2.3255813953488436,0,Process industries,
AGOAF,ABENGOA SA,0.0001,USD,900,18655,0.009315256492628913,,,,,,,,Industrial services,
DNAG,DNAPRINT GENOMICS,0.000006,USD,500.0000000000001,3665,0.002964804254562866,3867.6600000000003,USD,,,,,0,Health technology,
AURI,"Auri, Inc.",0.0002,USD,33.33333333333336,107857,0.002309110609536756,18209.33333333334,USD,,,,,0,Industrial services,
DKTS,TOP SHELF BRANDS HLDGS CORP,0.00002,USD,1900.0000000000005,1000,0.001551638530287984,42745.600000000006,USD,,,,,0,Consumer non-durables,
PHBI,Pharmagreen Biotech Inc.,0.0011,USD,10.000000000000005,1111,0.0012703084997359338,730010.6000000001,USD,,-0.0005,USD,50,0,Commercial services,
WLAN,"Wialan Technologies, Inc.",0.0013,USD,18.18181818181817,911,0.0009752509986687985,3293332.9,USD,,0,USD,100,0,Technology services,
FDFT,"Foodfest International 2000, Inc.",0.000002,USD,100,10000,0.0009085200694127503,4694.0976,USD,,,,,,Distribution services,
HFBG,HALL OF FAME BEVERAGES INC,0.000034,USD,3300.000000000001,600,0.0006735474780249522,223221.492,USD,,,,,0,Consumer non-durables,
MMEX,MMEX Resources Corporation,0.0001,USD,9900.000000000002,10006,0.0004343882979456577,11341,USD,,-0.0008,USD,0,,Energy minerals,
MODC,MODERN TECHNOLOGY CORP,0.000037,USD,3600,550,0.0003601825405115312,407.73999999999995,USD,,,,,0,Health technology,
BNYN,BANYAN CORP(OREGON),0.000193,USD,19200,104,0.000046257569172746086,290558.9524,USD,,,,,0,Consumer durables,
